,,,,,,,,,,,,,
,Остатки,,,,,,,,,,,,
,,отчет создан:,18/03/2026 12:32:54,,,,,,,,,,
,,исполнитель:,Баркова Светлана (admin@autopartsworld ),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Код,Артикул,Наименование,Ед.изм.,Доступно,Резерв,Ожидание,Остаток,Себестоимость,"Сумма себестоимости",Цена продажи,Сумма продажи,Дней на складе
,,,,,,,,,,,,,
,2034,2309020HF02,Привод передний правый 2309020HF02 HongQi H5,шт,1,0,0,1,4942.7,4942.7,20000,20000,252.73
,1832,5006338HF01,Крышка пыльника вторая 5006338HF01 HongQi H5,шт,1,0,0,1,483,483,1000,1000,252.73
,1839,3716035HF01,Фонарь задний левый 3716035HF01 HongQi H5,шт,1,0,0,1,8772,8772,18500,18500,82.63
,2855,5006050HF51885,Эмблема капота ЧЁРНАЯ 5006050HF51885 HongQi H5 Original,шт,1,0,0,1,2958,2958,7000,7000,47.89
,1811,3711060HF01,ДХО решетки радиатора правый HongQi H5 3711060HF01 (3711060HF01RC),шт,1,0,0,1,1642.2,1642.2,8500,8500,252.73
,1864,2803437HF01,Крышка пыльника переднего бампера вторая 2803437HF01 HongQi H5,шт,2,0,0,2,547.4,1094.8,1100,2200,252.73
,2780,8202045HF08S1,Зеркало переднее левое 8202045HF08S1 HongQi H5 (16 pin),шт,2,0,0,2,13260,26520,40000,80000,80.6
,1944,5103360HF01S2,Кронштейн передней рамы (к крылу) правый Hongqi 5103360HF01S2,шт,2,0,0,2,1175.3,2350.6,3000,6000,215.87
,1838,3716040HF01,Фонарь задний правый 3716040HF01 HongQi H5,шт,2,0,0,2,8772,17544,14000,28000,82.63
,1894,3502X75HF01,Колодки тормозные задние 3502X75HF01P/3502080-HF01 Hongqi H5 Good quality with red flag and packaging,шт,2,0,0,2,1285.2,2570.4,4500,9000,82.81
,2779,8202050HF08S1,Зеркало переднее правое 8202050HF08S1 HongQi H5 (16 pin),шт,2,0,0,2,13260,26520,40000,80000,80.6
,2253,5006081HF01115,Кожух замка капота 5006081HF01115 для Hongqi H5,шт,2,0,0,2,1530,3060,4500,9000,90.09
,2610,1301010HF02P,Радиатор основной 1301010HF02P Hongqi H5 Original,шт,2,0,0,2,6120,12240,35900,71800,91.98
,1943,5103355HF01S2,Кронштейн передней рамы (к крылу) левый Hongqi 5103355HF01S2,шт,2,0,0,2,1175.3,2350.6,3000,6000,215.87
,2611,1301010HF02P,Радиатор основной 1301010HF02P Hongqi H5 BRAND,шт,2,0,0,2,3468,6936,29200,58400,91.98
,2762,8114215HF01P,Мотор отопителя салона/печки 8114215HF01P Hongqi H5 NEW Original,шт,3,0,0,3,7446,22338,16000,48000,80.6
,2798,6103035HF02885,Уголок стекла двери передний левый/форточка 6103035HF02885 HongQi H5 Original,шт,3,0,0,3,3978,11934,8000,24000,78.83
,2797,6103040HF02885,Уголок стекла двери передний правый/форточка 6103040HF02885 HongQi H5 Original,шт,3,0,0,3,3978,11934,8000,24000,78.83
,1867,3711045HF04,Фара основная левая 3711045HF04 HongQi H5,шт,3,0,0,3,14490,43470,30000,90000,174.58
,2766,2804211HF01P,КРОНШТЕЙН ЗАДНЕГО БАМПЕРА ЛЕВЫЙ 2804211HF01P HongQi H5 Original,шт,3,0,0,3,510,1530,2050,6150,80.6
,2774,CQ39714F38K,Гайка развальная заднего рычага CQ39714F38K HongQi H5 Original (2шт),шт,3,0,0,3,204,612,3000,9000,80.6
,1863,2803438HF01,Крышка пыльника переднего бампера первая 2803438HF01 HongQi H5,шт,3,0,0,3,547.4,1642.2,1100,3300,252.73
